ID,Station Name,Short Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
a3b00b3a-a135-11e9-9cda-0a87ae2ba916,Richmond St & Diversey Ave,15645,15,15,In Service,41.9319019689,-87.7011951301,POINT (-87.7011951301 41.93190196886)
a3aca268-a135-11e9-9cda-0a87ae2ba916,Sacramento Blvd & Franklin Blvd,KA1504000113,11,11,In Service,41.8904687924,-87.7026075125,POINT (-87.702607512474 41.890468792439)
a3a8804b-a135-11e9-9cda-0a87ae2ba916,Ravenswood Ave & Irving Park Rd,TA1307000149,19,19,In Service,41.95469,-87.67393,POINT (-87.67393 41.95469)
2012672652900879218,Narragansett Ave & North Ave,24308,12,12,In Service,41.9095,-87.78491,POINT (-87.78491 41.9095)
a3adaf6b-a135-11e9-9cda-0a87ae2ba916,Clark St & Lunt Ave,KA1504000162,19,19,In Service,42.0090111806,-87.6741117239,POINT (-87.6741117239 42.009011180581)
a3a83698-a135-11e9-9cda-0a87ae2ba916,Southport Ave & Roscoe St,13071,19,19,In Service,41.943739,-87.66402,POINT (-87.66402 41.943739)
1863877673940343638,California Ave & Marquette Rd,21390,15,15,In Service,41.771611,-87.693331,POINT (-87.693331 41.771611)
1861594737501366386,Springfield Ave & 71st St,23137,15,15,In Service,41.764484,-87.720028,POINT (-87.720028 41.764484)
1448642175142467184,Avenue L & 114th St,,4,4,In Service,41.6881169,-87.5365497,POINT (-87.5365497 41.6881169)
a3b24c1f-a135-11e9-9cda-0a87ae2ba916,May St & 69th St,567,11,11,In Service,41.768938,-87.652934,POINT (-87.652934 41.768938)
a3b30b06-a135-11e9-9cda-0a87ae2ba916,Sheridan Rd & Noyes St (NU),604,15,15,In Service,42.058239,-87.677432,POINT (-87.677432 42.058239)
a3adaa52-a135-11e9-9cda-0a87ae2ba916,Eberhart Ave & 61st St,KA1503000033,11,11,In Service,41.7840710728,-87.6144835353,POINT (-87.61448353529 41.784071072761)
1981450681586989620,Mason Ave & Montrose Ave,24365,16,16,In Service,41.96056,-87.77588,POINT (-87.77588 41.96056)
1871993715238611622,Parkside Ave & Armitage Ave,21354,15,15,In Service,41.916907,-87.767173,POINT (-87.767173 41.916907)
1582242319632586320,Archer Ave & 43rd St,,6,6,In Service,41.8154913,-87.7024412,POINT (-87.7024412 41.8154913)
a3afe6ed-a135-11e9-9cda-0a87ae2ba916,Kedzie Ave & Bryn Mawr Ave,KA1504000167,15,15,In Service,41.9822297591,-87.7088865638,POINT (-87.708886563778 41.982229759115)
1594046370923369114,Francisco Ave & Chicago Ave,,9,9,In Service,41.895745,-87.698653,POINT (-87.698653 41.895745)
1594046400988140226,Sacramento Ave & 25th St,,9,9,In Service,41.846506,-87.700139,POINT (-87.700139 41.846506)
a3aa7373-a135-11e9-9cda-0a87ae2ba916,Ravenswood Ave & Berteau Ave,TA1309000018,15,15,In Service,41.957921,-87.673567,POINT (-87.673567 41.957921)
a3ad7b51-a135-11e9-9cda-0a87ae2ba916,DuSable Museum,KA1503000075,11,11,In Service,41.7915680106,-87.6078521774,POINT (-87.6078521774 41.79156801058)
a3a5428e-a135-11e9-9cda-0a87ae2ba916,Orleans St & Merchandise Mart Plaza,TA1305000022,35,35,In Service,41.888243,-87.63639,POINT (-87.63639 41.888243)
1575949510978564830,Central Park Ave & Ohio St,,9,9,In Service,41.8918718,-87.7163879,POINT (-87.7163879 41.8918718)
a3b2a4ca-a135-11e9-9cda-0a87ae2ba916,Ellis Ave & 83rd St,584,11,11,In Service,41.744123,-87.599034,POINT (-87.599034 41.744123)
1866822399451882164,Lincoln Ave & Peterson Ave,21462,15,15,In Service,41.990267,-87.70857,POINT (-87.70857 41.990267)
